epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.6622,2.48711,0.44539,0.80993,1.81034,0.00032906,0.00032906,0.0674231
2,62.0845,1.67981,0.54894,0.91064,1.34164,0.000645999,0.000645999,0.0344067
3,91.6558,1.44174,0.54752,0.8766,1.58838,0.000946438,0.000946438,0.00137379
4,121.041,1.49511,0.59149,0.89645,1.33028,0.00092575,0.00092575,0.00092575
5,150.562,1.36067,0.6156,0.88227,1.37331,0.000901,0.000901,0.000901
6,178.918,1.24513,0.61135,0.91206,1.21381,0.00087625,0.00087625,0.00087625
7,208.36,1.13326,0.65106,0.92766,1.08274,0.0008515,0.0008515,0.0008515
8,240.155,1.04252,0.65816,0.91206,1.4356,0.00082675,0.00082675,0.00082675
9,269.854,1.00588,0.62837,0.9234,1.36543,0.000802,0.000802,0.000802
10,299.614,0.98077,0.67092,0.91773,1.06579,0.00077725,0.00077725,0.00077725
11,331.109,0.90126,0.67376,0.92199,1.08731,0.0007525,0.0007525,0.0007525
12,364.122,0.85242,0.67943,0.92482,1.1102,0.00072775,0.00072775,0.00072775
13,395.341,0.79979,0.70071,0.94043,0.99346,0.000703,0.000703,0.000703
14,428.772,0.70011,0.70071,0.92766,1.09839,0.00067825,0.00067825,0.00067825
15,461.729,0.64757,0.69929,0.94043,1.03193,0.0006535,0.0006535,0.0006535
16,493.302,0.59853,0.70638,0.92057,1.25719,0.00062875,0.00062875,0.00062875
17,522.685,0.58823,0.73333,0.93475,1.04059,0.000604,0.000604,0.000604
18,554.047,0.52726,0.73333,0.92908,0.9976,0.00057925,0.00057925,0.00057925
19,584.574,0.50964,0.71064,0.93617,1.07353,0.0005545,0.0005545,0.0005545
20,613.639,0.46823,0.72908,0.9234,1.06336,0.00052975,0.00052975,0.00052975
21,642.679,0.44996,0.73901,0.93759,1.17668,0.000505,0.000505,0.000505
22,671.613,0.41134,0.7305,0.93191,1.0992,0.00048025,0.00048025,0.00048025
23,700.768,0.37051,0.74894,0.93333,0.97926,0.0004555,0.0004555,0.0004555
24,733.25,0.33547,0.74184,0.93901,0.94096,0.00043075,0.00043075,0.00043075
25,763.57,0.33349,0.76879,0.94043,0.92891,0.000406,0.000406,0.000406
26,793.077,0.27881,0.75177,0.93617,0.96004,0.00038125,0.00038125,0.00038125
27,824.978,0.26159,0.75745,0.93191,0.9476,0.0003565,0.0003565,0.0003565
28,856.061,0.26787,0.76738,0.93901,0.95855,0.00033175,0.00033175,0.00033175
29,886.85,0.20108,0.78156,0.93617,0.9719,0.000307,0.000307,0.000307
30,916.763,0.22101,0.77872,0.92766,0.99778,0.00028225,0.00028225,0.00028225
31,966.773,0.19078,0.78865,0.93617,0.88847,0.0002575,0.0002575,0.0002575
32,996.073,0.19774,0.77163,0.9305,0.97875,0.00023275,0.00023275,0.00023275
33,1025.19,0.18829,0.76738,0.93475,0.92117,0.000208,0.000208,0.000208
34,1054.32,0.18412,0.7773,0.93475,0.88702,0.00018325,0.00018325,0.00018325
35,1083.75,0.15208,0.78582,0.94043,1.04234,0.0001585,0.0001585,0.0001585
36,1113.07,0.16656,0.78582,0.9305,0.92286,0.00013375,0.00013375,0.00013375
37,1142.14,0.14331,0.78014,0.93617,0.91031,0.000109,0.000109,0.000109
38,1171.35,0.14119,0.78298,0.94043,1.15847,8.425e-05,8.425e-05,8.425e-05
39,1200.72,0.14525,0.78156,0.94468,0.92693,5.95e-05,5.95e-05,5.95e-05
40,1229.65,0.13808,0.78723,0.94326,0.90496,3.475e-05,3.475e-05,3.475e-05
